text,label
买,1,1
买了,1,1
给了,1,1
给,1,1
花了,1,1
借了,1,1
借给,1,1
用了,1,1
亏了,1,1
亏,1,1
付了,1,1
支付,1,1
支付了,1,1
刷卡,1,1
刷了,1,1
刷,1,1
掉了,1,1
购买了,1,1
购买,1,1
买菜,1,1
买东西,1,1
输了,1,1
交了,1,1
交了学费,1,1
交了书费,1,1
交了水电气费,1,1
充值,1,1
充了,1,1
加了油,1,1
加油,1,1
转给,1,1
转了,1,1
花了,1,1
买了,1,1
转了,1,1
给了,1,1
用了,1,1
交了,1,1
交了,1,1
交了,1,1
看电影用了元,1,1
买菜用了,1,1
买门票用了钱,1,1
配眼镜花了,1,1
花了圆,1,1
花了块圆,1,1
买员,1,1
赚了圆,1,0
赚了块圆,1,0
收员,1,0
赚,1,0
赚了,1,0
赚到了,1,0
赚到,1,0
赚钱,1,0
获得,1,0
获得了,1,0
得到,1,0
还,1,0
还给我,1,0
转给我,1,0
工资,1,0
捡到,1,0
卖了,1,0
卖,1,0
退了,1,0
退,1,0
找到,1,0
发了,1,0
收入,1,0
收,1,0
收了,1,0
回款,1,0
